SMILES,IUPAC,InChI,InChIKey,MolWeight,ExactMass,HBondDonors,HBondAcceptors,TPSA,LogP,RotatableBonds,Solubility,Viscosity_cP,ThermalStability_Score,BoilingPoint_C
COCC(CNC(=O)c1ccc2c(c1)NC(=O)C2)OC,"N-(2,3-dimethoxypropyl)-2-oxo-1,3-dihydroindole-6-carboxamide","InChI=1S/C14H18N2O4/c1-19-8-11(20-2)7-15-14(18)10-4-3-9-6-13(17)16-12(9)5-10/h3-5,11H,6-8H2,1-2H3,(H,15,18)(H,16,17)",PGPUGRJFCOKUCQ-UHFFFAOYSA-N,278.30800000000005,278.126657056,2.0,4.0,76.66000000000001,0.5723999999999998,6.0,-0.2,8.823,-14.94,137.459
OCCn1cc(CNc2cccc3c2CCCC3)nn1,"2-[4-[(5,6,7,8-tetrahydronaphthalen-1-ylamino)methyl]triazol-1-yl]ethanol","InChI=1S/C15H20N4O/c20-9-8-19-11-13(17-18-19)10-16-15-7-3-5-12-4-1-2-6-14(12)15/h3,5,7,11,16,20H,1-2,4,6,8-10H2",GKGJVPDGYIJDNU-UHFFFAOYSA-N,272.3519999999999,272.16371126,2.0,5.0,62.97,1.7613,5.0,1.8,7.542,-7.86,225.674
O=C(NCc1ccc(F)cc1)N1CC=C(c2c[nH]c3ccccc23)CC1,"N-[(4-fluorophenyl)methyl]-4-(1H-indol-3-yl)-3,6-dihydro-2H-pyridine-1-carboxamide","InChI=1S/C21H20FN3O/c22-17-7-5-15(6-8-17)13-24-21(26)25-11-9-16(10-12-25)19-14-23-20-4-2-1-3-18(19)20/h1-9,14,23H,10-13H2,(H,24,26)",CFLVGIPLJDJLIT-UHFFFAOYSA-N,349.40900000000016,349.15904048,2.0,1.0,48.13,4.305900000000004,3.0,3.1,5.812,11.082,428.848
Nc1nc2ccc(F)c(F)c2n1Cc1ccccc1Br,"1-[(2-bromophenyl)methyl]-6,7-difluorobenzimidazol-2-amine","InChI=1S/C14H10BrF2N3/c15-9-4-2-1-3-8(9)7-20-13-11(19-14(20)18)6-5-10(16)12(13)17/h1-6H,7H2,(H2,18,19)",DLGKUEUSWFFIKK-UHFFFAOYSA-N,338.155,337.00261586,1.0,3.0,43.84,3.707500000000002,2.0,3.6,5.46,14.323,382.167
COc1ccc2nc(NC(=O)Nc3cnccn3)sc2c1,"1-(6-methoxy-1,3-benzothiazol-2-yl)-3-pyrazin-2-ylurea","InChI=1S/C13H11N5O2S/c1-20-8-2-3-9-10(6-8)21-13(16-9)18-12(19)17-11-7-14-4-5-15-11/h2-7H,1H3,(H2,15,16,17,18,19)",ITRICNIPKKDGSF-UHFFFAOYSA-N,301.3310000000001,301.063345592,2.0,6.0,89.03,2.7389,3.0,1.4,10.306,5.544,303.63
CCC(C)N(C)C(=O)C1(c2ccc(N)cc2)CC1,1-(4-aminophenyl)-N-butan-2-yl-N-methylcyclopropane-1-carboxamide,"InChI=1S/C15H22N2O/c1-4-11(2)17(3)14(18)15(9-10-15)12-5-7-13(16)8-6-12/h5-8,11H,4,9-10,16H2,1-3H3",SLEMAVMAQXTMTP-UHFFFAOYSA-N,246.354,246.173213324,1.0,2.0,46.33,2.557300000000001,4.0,2.3,5.426,-2.568,281.214
CC1CCC(O)(CCc2ccsc2)C1,3-methyl-1-(2-thiophen-3-ylethyl)cyclopentan-1-ol,"InChI=1S/C12H18OS/c1-10-2-5-12(13,8-10)6-3-11-4-7-14-9-11/h4,7,9-10,13H,2-3,5-6,8H2,1H3",SPPLDRALWQYSGP-UHFFFAOYSA-N,210.342,210.107836196,1.0,2.0,20.23,3.2318000000000024,3.0,3.1,2.744,1.981,326.04
COc1ccccc1N1CC[NH+](CC2C(=O)OC3CC4(C)CCCC(C)=C4CC32)CC1,"3-[[4-(2-methoxyphenyl)piperazin-1-ium-1-yl]methyl]-5,8a-dimethyl-3,3a,4,6,7,8,9,9a-octahydrobenzo[f][1]benzofuran-2-one","InChI=1S/C26H36N2O3/c1-18-7-6-10-26(2)16-24-19(15-21(18)26)20(25(29)31-24)17-27-11-13-28(14-12-27)22-8-4-5-9-23(22)30-3/h4-5,8-9,19-20,24H,6-7,10-17H2,1-3H3/p+1",WPMSKGJSKVLMAS-UHFFFAOYSA-O,425.5930000000004,425.27986946409,1.0,4.0,43.21000000000001,2.8584000000000005,4.0,4.2,5.672,6.996,332.475
Cn1nc(COc2cnccn2)c2c1CCN(C(=O)CCCc1ccccc1)C2,"1-[1-methyl-3-(pyrazin-2-yloxymethyl)-6,7-dihydro-4H-pyrazolo[4,3-c]pyridin-5-yl]-4-phenylbutan-1-one","InChI=1S/C22H25N5O2/c1-26-20-10-13-27(22(28)9-5-8-17-6-3-2-4-7-17)15-18(20)19(25-26)16-29-21-14-23-11-12-24-21/h2-4,6-7,11-12,14H,5,8-10,13,15-16H2,1H3",DYQXUTFWFLOBKP-UHFFFAOYSA-N,391.4750000000002,391.20082504,0.0,6.0,73.14,2.6967000000000008,7.0,1.5,8.697,-10.033,314.889
Brc1cccc(c2cc3c4c(cccc4c2)CC3)c1,"4-(3-bromophenyl)-1,2-dihydroacenaphthylene","InChI=1S/C18H13Br/c19-17-6-2-4-13(11-17)16-9-14-5-1-3-12-7-8-15(10-16)18(12)14/h1-6,9-11H,7-8H2",JBLDKJCGMXNDSY-UHFFFAOYSA-N,309.2060000000001,308.02006251600005,0.0,0.0,0.0,5.367900000000003,1.0,5.8,0.618,21.196,502.065
